EMPLOYER,JOB TITLE,BASE SALARY,LOCATION,SUBMIT DATE,START DATE,CASE STATUS
BLOOMBERG LP,HUMAN RESOURCES SPECIALIST,75000.00,"NEW YORK, NY",3/8/16,9/1/16,CERTIFIED
BLOOMBERG LP,QUALITY ENGINEER,75000.00,"QUEENS, NY",6/23/16,7/25/16,CERTIFIED
BLOOMBERG LP,BROADCAST ENGINEER,77500.00,"NEW YORK, NY",2/11/16,8/1/16,CERTIFIED
BLOOMBERG LP,RESEARCH ASSOCIATE,79000.00,"NEW YORK, NY",3/11/16,8/1/16,CERTIFIED
BLOOMBERG LP,SENIOR RESEARCH ASSOCIATE,79000.00,"NEW YORK, NY",3/11/16,9/1/16,CERTIFIED
BLOOMBERG LP,SENIOR RESEARCH ASSOCIATE,79000.00,"NEW YORK, NY",3/22/16,9/1/16,CERTIFIED
BLOOMBERG LP,EDITOR - STATS,81000.00,"NEW YORK, NY",2/1/16,7/31/16,CERTIFIED
BLOOMBERG LP,ETO REPRESENTATIVE INF,82000.00,"SAN FRANCISCO, CA",2/22/16,8/15/16,CERTIFIED
BLOOMBERG LP,TECHNICAL SUPPORT ASSOCIATE,84500.00,"CHICAGO, IL",5/9/16,8/26/16,CERTIFIED
BLOOMBERG LP,COMMUNICATIONS ACCOUNT PROFESSIONAL,85000.00,"NEW YORK, NY",2/22/16,8/15/16,CERTIFIED
BLOOMBERG LP,QUALITY ENGINEER,85000.00,"QUEENS, NY",6/17/16,7/25/16,CERTIFIED
BLOOMBERG LP,REPORTER,86500.00,"NEW YORK, NY",6/16/16,6/20/16,CERTIFIED
BLOOMBERG LP,ACCOUNT MANAGER,87500.00,"NEW YORK, NY",3/15/16,9/1/16,CERTIFIED
BLOOMBERG LP,EDITOR OF BLOOMBERG BRIEFS,88500.00,"NEW YORK, NY",8/2/16,12/28/16,CERTIFIED
BLOOMBERG LP,GRAPHIC ARTIST,90000.00,"NEW YORK, NY",3/8/16,9/1/16,CERTIFIED
BLOOMBERG LP,DEPUTY TEAM LEADER,91000.00,"NEW YORK, NY",3/9/16,9/1/16,CERTIFIED
BLOOMBERG LP,COMMODITY SENIOR ANALYST,91100.00,"NEW YORK, NY",3/11/16,9/1/16,CERTIFIED
BLOOMBERG LP,CHINA MARKETS REPORTER,91500.00,"NEW YORK, NY",9/9/16,2/23/17,CERTIFIED
BLOOMBERG LP,DATA ANALYST,92000.00,"PRINCETON, NJ",5/24/16,9/30/16,CERTIFIED
BLOOMBERG LP,CONTENT SPECIALIST,92500.00,"NEW YORK, NY",7/22/16,8/8/16,CERTIFIED
BLOOMBERG LP,VIDEO EDITOR,94000.00,"NEW YORK, NY",2/1/16,7/31/16,CERTIFIED
BLOOMBERG LP,MEDIA LICENSING MANAGER,95000.00,"NEW YORK, NY",5/4/16,5/16/16,CERTIFIED
BLOOMBERG LP,REVENUE ACCOUNTING MANAGER,95000.00,"NEW YORK, NY",9/2/16,9/19/16,CERTIFIED
BLOOMBERG LP,SENIOR RESEARCH ASSOCIATE,95000.00,"NEW YORK, NY",1/26/16,7/15/16,CERTIFIED
BLOOMBERG LP,PEOPLE ANALYTICS DATA SCIENTIST,97000.00,"PRINCETON, NJ",5/16/16,7/11/16,CERTIFIED
BLOOMBERG LP,NETWORK ENGINEER OPERATIONS,97500.00,"DAYTON, NJ",5/24/16,10/1/16,CERTIFIED
BLOOMBERG LP,API SPECIALIST,100000.00,"NEW YORK, NY",1/25/16,7/9/16,CERTIFIED
BLOOMBERG LP,API SPECIALIST,100000.00,"SAN FRANCISCO, CA",3/4/16,7/15/16,CERTIFIED
BLOOMBERG LP,EDITOR,100000.00,"SAN FRANCISCO, CA",3/4/16,7/15/16,CERTIFIED
BLOOMBERG LP,SAP ABAP DVELOPER,100000.00,"NEW YORK, NY",2/16/16,7/11/16,CERTIFIED
BLOOMBERG LP,SENIOR SOFTWARE DEVELOPER,100000.00,"NEW YORK, NY",3/4/16,7/15/16,CERTIFIED
BLOOMBERG LP,SOFTWARE ADMINISTRATOR,100000.00,"NEW YORK, NY",3/2/16,8/15/16,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,100000.00,"NEW YORK, NY",12/2/16,5/15/17,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,100000.00,"NEW YORK, NY",12/2/16,5/15/17,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,100000.00,"NEW YORK, NY",12/2/16,5/15/17,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,100000.00,"NEW YORK, NY",12/2/16,5/15/17,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,100000.00,"NEW YORK, NY",12/2/16,5/15/17,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,100000.00,"NEW YORK, NY",12/2/16,5/15/17,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,100000.00,"NEW YORK, NY",12/2/16,5/15/17,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,100000.00,"NEW YORK, NY",12/2/16,5/15/17,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,100000.00,"NEW YORK, NY",12/2/16,5/15/17,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,100000.00,"PRINCETON, NJ",12/9/16,5/15/17,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,100000.00,"NEW YORK, NY",12/2/16,5/15/17,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,100000.00,"NEW YORK, NY",12/2/16,5/15/17,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,100000.00,"NEW YORK, NY",12/2/16,5/15/17,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,100000.00,"NEW YORK, NY",12/2/16,5/15/17,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,100000.00,"PRINCETON, NJ",12/9/16,5/15/17,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,100000.00,"NEW YORK, NY",12/2/16,5/15/17,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,100000.00,"NEW YORK, NY",12/2/16,5/15/17,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,100000.00,"NEW YORK, NY",12/2/16,5/15/17,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,100000.00,"NEW YORK, NY",12/2/16,5/15/17,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,100000.00,"NEW YORK, NY",1/21/16,7/15/16,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,100000.00,"PRINCETON, NJ",1/21/16,7/15/16,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,100000.00,"NEW YORK, NY",1/21/16,7/15/16,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,100000.00,"NEW YORK, NY",1/21/16,7/15/16,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,100000.00,"NEW YORK, NY",1/21/16,7/15/16,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,100000.00,"NEW YORK, NY",1/21/16,7/15/16,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,100000.00,"NEW YORK, NY",1/21/16,7/15/16,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,100000.00,"NEW YORK, NY",1/25/16,7/15/16,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,100000.00,"NEW YORK, NY",1/25/16,7/15/16,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,100000.00,"NEW YORK, NY",1/25/16,7/15/16,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,100000.00,"NEW YORK, NY",1/25/16,7/15/16,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,100000.00,"NEW YORK, NY",1/25/16,7/15/16,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,100000.00,"NEW YORK, NY",1/25/16,7/15/16,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,100000.00,"NEW YORK, NY",1/25/16,7/15/16,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,100000.00,"NEW YORK, NY",1/25/16,7/15/16,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,100000.00,"WASHINGTON, DC",3/4/16,7/15/16,CERTIFIED
BLOOMBERG LP,UX DESIGNER,100000.00,"NEW YORK, NY",3/11/16,9/1/16,CERTIFIED
BLOOMBERG LP,FIS REPRESENTATIVE,100404.00,"SAN FRANCISCO, CA",3/16/16,9/1/16,CERTIFIED
BLOOMBERG LP,REPORTER,101000.00,"WASHINGTON D.C., DC",7/13/16,7/25/16,CERTIFIED
BLOOMBERG LP,ACCOUNT MANAGER,102000.00,"NEW YORK, NY",3/10/16,8/30/16,CERTIFIED
BLOOMBERG LP,EDITOR OF BLOOMBERG BRIEFS,102000.00,"NEW YORK, NY",11/11/16,12/28/16,CERTIFIED
BLOOMBERG LP,ESCALATION/NEGOTIATIONS REPRESENTATIVE,105000.00,"NEW YORK, NY",3/22/16,9/15/16,CERTIFIED
BLOOMBERG LP,REPORTER,106700.00,"NEW YORK, NY",2/11/16,8/1/16,CERTIFIED
BLOOMBERG LP,RELATIONSHIP MANAGER,107000.00,"NEW YORK, NY",7/6/16,9/1/16,CERTIFIED
BLOOMBERG LP,DATA JOURNALIST - BLOOMBERG GRAPHICS NEWS DESK,108000.00,"NEW YORK, NY",3/2/16,9/1/16,CERTIFIED
BLOOMBERG LP,DATA QUALITY ANALYST,108000.00,"NEW YORK, NY",5/18/16,6/20/16,CERTIFIED
BLOOMBERG LP,SENIOR SOFTWARE DEVELOPER,108000.00,"NEW YORK, NY",10/21/16,11/21/16,CERTIFIED
BLOOMBERG LP,SENIOR SOFTWARE DEVELOPER,108000.00,"NEW YORK, NY",12/13/16,6/1/17,CERTIFIED
BLOOMBERG LP,EDITOR,110000.00,"SAN FRANCISCO, CA",3/3/16,7/15/16,CERTIFIED
BLOOMBERG LP,FIRST WORD EQUITIES REPORTER,110000.00,"NEW YORK, NY",3/3/16,7/15/16,CERTIFIED
BLOOMBERG LP,FIRST WORD EQUITIES REPORTER,110000.00,"NEW YORK, NY",3/3/16,7/15/16,CERTIFIED
BLOOMBERG LP,QUANTITATIVE ANALYST,110000.00,"NEW YORK, NY",3/21/16,7/15/16,CERTIFIED
BLOOMBERG LP,REGULATORY REPRESENTATIVE,110000.00,"NEW YORK, NY",1/15/16,7/15/16,CERTIFIED
BLOOMBERG LP,REGULATORY REPRESENTATIVE,110000.00,"NEW YORK, NY",3/8/16,7/15/16,CERTIFIED
BLOOMBERG LP,REGULATORY REPRESENTATIVE,110000.00,"NEW YORK, NY",3/11/16,9/1/16,CERTIFIED
BLOOMBERG LP,TRAINING SPECIALIST,110000.00,"NEW YORK, NY",1/15/16,7/15/16,CERTIFIED
BLOOMBERG LP,INDUSTRIAL ENGINEER,112000.00,"NEW YORK, NY",5/4/16,5/31/16,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,112000.00,"NEW YORK, NY",6/29/16,7/11/16,CERTIFIED
BLOOMBERG LP,SENIOR MANAGER OF COMMUNICATIONS,113000.00,"NEW YORK, NY",7/22/16,1/6/17,CERTIFIED
BLOOMBERG LP,REPORTER,113313.00,"NEW YORK, NY",4/8/16,5/16/16,CERTIFIED
BLOOMBERG LP,REPORTER,113313.00,"NEW YORK, NY",4/18/16,5/2/16,CERTIFIED
BLOOMBERG LP,ART DIRECTOR,114000.00,"NEW YORK, NY",3/2/16,8/15/16,CERTIFIED
BLOOMBERG LP,BUSINESS REPORTING ANALYST,115000.00,"NEW YORK, NY",11/3/16,11/14/16,CERTIFIED
BLOOMBERG LP,SAP BUSINESS WAREHOUSE ANALYST,117300.00,"NEW YORK, NY",2/24/16,7/6/16,CERTIFIED
BLOOMBERG LP,SAP BUSINESS WAREHOUSE ANALYST,117300.00,"NEW YORK, NY",2/25/16,7/6/16,CERTIFIED
BLOOMBERG LP,SENIOR SOFTWARE DEVELOPER,117500.00,"PRINCETON, NJ",4/22/16,9/1/16,CERTIFIED
BLOOMBERG LP,FIS REPRESENTATIVE,119000.00,"NEW YORK, NY",3/2/16,8/15/16,CERTIFIED
BLOOMBERG LP,"INTELLIGENCE, PUBLIC POLICY AND GOVERNMENT RESEARCH ANALYST",119000.00,"WASHINGTON, DC",3/4/16,3/17/16,CERTIFIED
BLOOMBERG LP,TSCI INTEGRATION SPECIALIST,119500.00,"NEW YORK, NY",4/19/16,9/30/16,CERTIFIED
BLOOMBERG LP,SAP ABAP DEVELOPER,120000.00,"NEW YORK, NY",4/8/16,6/6/16,CERTIFIED
BLOOMBERG LP,SENIOR SOFTWARE DEVELOPER,120000.00,"NEW YORK, NY",3/8/16,9/1/16,CERTIFIED
BLOOMBERG LP,SPEED DESK NEWS ANALYST,120000.00,"SAN FRANCISCO, CA",2/17/16,8/11/16,CERTIFIED
BLOOMBERG LP,STRUCTURED PRODUCT MODELER,120000.00,"NEW YORK, NY",3/29/16,9/15/16,CERTIFIED
BLOOMBERG LP,PRODUCTION AND TECHNICAL SUPPORT,121000.00,"NEW YORK, NY",3/22/16,9/15/16,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,121000.00,"NEW YORK, NY",1/29/16,7/1/16,CERTIFIED
BLOOMBERG LP,TECHNICAL SUPPORT ASSOCIATE,121000.00,"NEW YORK, NY",12/23/16,6/23/17,CERTIFIED
BLOOMBERG LP,SENIOR SOFTWARE DEVELOPER,124000.00,"NEW YORK, NY",1/26/16,7/15/16,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,124000.00,"NEW YORK, NY",1/27/16,7/1/16,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,124000.00,"NEW YORK, NY",1/27/16,7/1/16,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,124000.00,"NEW YORK, NY",6/23/16,7/13/16,CERTIFIED
BLOOMBERG LP,SENIOR SOFTWARE DEVELOPER,124500.00,"NEW YORK, NY",10/26/16,11/14/16,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,124500.00,"NEW YORK, NY",12/30/16,6/1/17,CERTIFIED
BLOOMBERG LP,APPLICATION PACKAGER AND IMPLEMENTATION DEVELOPER,125000.00,"NEW YORK, NY",3/11/16,4/4/16,CERTIFIED
BLOOMBERG LP,DIGITAL ANALYTICS MANAGER,125000.00,"NEW YORK, NY",10/4/16,10/24/16,CERTIFIED
BLOOMBERG LP,SAP ABAP DEVELOPER,125000.00,"NEW YORK, NY",3/10/16,8/23/16,CERTIFIED
BLOOMBERG LP,SENIOR SOFTWARE DEVELOPER,125000.00,"NEW YORK, NY",12/9/16,5/15/17,CERTIFIED
BLOOMBERG LP,SENIOR SOFTWARE DEVELOPER,125000.00,"NEW YORK, NY",12/9/16,5/15/17,CERTIFIED
BLOOMBERG LP,SENIOR SOFTWARE DEVELOPER,125000.00,"NEW YORK, NY",12/9/16,5/15/17,CERTIFIED
BLOOMBERG LP,SENIOR SOFTWARE DEVELOPER,125000.00,"NEW YORK, NY",1/21/16,7/15/16,CERTIFIED
BLOOMBERG LP,SENIOR SOFTWARE DEVELOPER,125000.00,"NEW YORK, NY",1/21/16,7/15/16,CERTIFIED
BLOOMBERG LP,SENIOR SOFTWARE DEVELOPER,125000.00,"NEW YORK, NY",3/14/16,7/15/16,CERTIFIED
BLOOMBERG LP,SENIOR SOFTWARE DEVELOPER,125500.00,"NEW YORK, NY",1/7/16,1/17/16,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,126500.00,"NEW YORK, NY",12/7/16,6/1/17,CERTIFIED
BLOOMBERG LP,API SPECIALIST,127500.00,"NEW YORK, NY",2/16/16,7/9/16,CERTIFIED
BLOOMBERG LP,SENIOR SOFTWARE DEVELOPER,127500.00,"NEW YORK, NY",12/9/16,6/1/17,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,127500.00,"NEW YORK, NY",11/18/16,4/17/17,CERTIFIED
BLOOMBERG LP,AIM ACCOUNT MANAGER,128000.00,"SAN FRANCISCO, CA",3/10/16,9/1/16,CERTIFIED
BLOOMBERG LP,OPERATIONS ENGINEER,128000.00,"NEW YORK, NY",12/7/16,2/6/17,CERTIFIED
BLOOMBERG LP,PRODUCT DEVELOPMENT MANAGER,128000.00,"NEW YORK, NY",3/8/16,3/21/16,CERTIFIED
BLOOMBERG LP,SENIOR SOFTWARE DEVELOPER,128000.00,"NEW YORK, NY",5/2/16,10/1/16,CERTIFIED
BLOOMBERG LP,SENIOR SOFTWARE DEVELOPER,128000.00,"PRINCETON, NJ",6/14/16,7/11/16,CERTIFIED
BLOOMBERG LP,SENIOR SOFTWARE DEVELOPER,128000.00,"NEW YORK, NY",7/27/16,9/5/16,CERTIFIED
BLOOMBERG LP,SENIOR SOFTWARE DEVELOPER,128000.00,"NEW YORK, NY",8/2/16,10/31/16,CERTIFIED
BLOOMBERG LP,SENIOR SOFTWARE DEVELOPER,128000.00,"NEW YORK, NY",8/19/16,9/26/16,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,128000.00,"NEW YORK, NY",11/4/16,2/27/17,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,128000.00,"NEW YORK, NY",12/16/16,1/3/17,CERTIFIED
BLOOMBERG LP,SENIOR CMBS ANALYST,128500.00,"NEW YORK, NY",4/19/16,8/1/16,CERTIFIED
BLOOMBERG LP,SENIOR CMBS ANALYST,128500.00,"NEW YORK, NY",4/28/16,8/11/16,CERTIFIED
BLOOMBERG LP,UX DESIGNER,128500.00,"NEW YORK, NY",4/14/16,9/15/16,CERTIFIED
BLOOMBERG LP,NETWORK ENGINEER,129000.00,"NEW YORK, NY",5/16/16,5/20/16,CERTIFIED
BLOOMBERG LP,SENIOR SOFTWARE DEVELOPER,129500.00,"NEW YORK, NY",12/7/16,6/1/17,CERTIFIED
BLOOMBERG LP,AGILE COACH SCRUM MASTER,130000.00,"NEW YORK, NY",3/18/16,4/18/16,CERTIFIED
BLOOMBERG LP,BSC PROJECT MANAGER,130000.00,"NEW YORK, NY",2/11/16,8/1/16,CERTIFIED
BLOOMBERG LP,SENIOR SOFTWARE DEVELOPER,130000.00,"NEW YORK, NY",1/19/16,7/15/16,CERTIFIED
BLOOMBERG LP,SENIOR SOFTWARE DEVELOPER,130000.00,"NEW YORK, NY",3/23/16,4/18/16,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,130000.00,"NEW YORK, NY",3/4/16,7/15/16,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,131000.00,"NEW YORK, NY",12/7/16,6/1/17,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,131000.00,"NEW YORK, NY",12/7/16,6/1/17,CERTIFIED
BLOOMBERG LP,SENIOR SOFTWARE DEVELOPER,131500.00,"NEW YORK, NY",12/23/16,6/1/17,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,132000.00,"NEW YORK, NY",5/6/16,8/15/16,CERTIFIED
BLOOMBERG LP,RELATIONSHIP MANAGER,133000.00,"NEW YORK, NY",1/20/16,5/27/16,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,133000.00,"NEW YORK, NY",4/8/16,8/1/16,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,133500.00,"NEW YORK, NY",2/17/16,8/15/16,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,134000.00,"NEW YORK, NY",2/17/16,8/1/16,CERTIFIED
BLOOMBERG LP,SENIOR SOFTWARE DEVELOPER,134500.00,"NEW YORK, NY",12/7/16,6/1/17,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,134500.00,"NEW YORK, NY",12/9/16,6/1/17,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,134500.00,"NEW YORK, NY",4/19/16,8/15/16,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,134500.00,"NEW YORK, NY",6/20/16,12/19/16,CERTIFIED
BLOOMBERG LP,NETWORK/SYSTEMS ENGINEER- NETWORK SERVICES,135000.00,"NEW YORK, NY",6/20/16,8/8/16,CERTIFIED
BLOOMBERG LP,PROJECT MANAGER - R&D,135000.00,"NEW YORK, NY",3/22/16,9/15/16,CERTIFIED
BLOOMBERG LP,SENIOR SOFTWARE DEVELOPER,135000.00,"NEW YORK, NY",12/23/16,6/1/17,CERTIFIED
BLOOMBERG LP,SENIOR SOFTWARE DEVELOPER,135000.00,"NEW YORK, NY",2/5/16,6/20/16,CERTIFIED
BLOOMBERG LP,SENIOR SOFTWARE DEVELOPER,135000.00,"NEW YORK, NY",2/11/16,7/31/16,CERTIFIED
BLOOMBERG LP,SENIOR SOFTWARE DEVELOPER,135000.00,"NEW YORK, NY",3/18/16,5/3/16,CERTIFIED
BLOOMBERG LP,SENIOR SOFTWARE DEVELOPER,135000.00,"NEW YORK, NY",4/6/16,5/9/16,CERTIFIED
BLOOMBERG LP,SENIOR SOFTWARE DEVELOPER,135000.00,"NEW YORK, NY",4/12/16,8/15/16,CERTIFIED
BLOOMBERG LP,SENIOR SOFTWARE DEVELOPER,135000.00,"PRINCETON, NJ",6/21/16,8/1/16,CERTIFIED
BLOOMBERG LP,SENIOR SOFTWARE DEVELOPER,135000.00,"NEW YORK, NY",8/1/16,1/30/17,CERTIFIED
BLOOMBERG LP,SENIOR SOFTWARE DEVELOPER,135000.00,"PRINCETON, NJ",9/23/16,11/14/16,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,135000.00,"NEW YORK, NY",2/1/16,7/31/16,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,135000.00,"N/A, NY",2/5/16,8/1/16,CERTIFIED
BLOOMBERG LP,SENIOR SOFTWARE DEVELOPER,135500.00,"NEW YORK, NY",11/28/16,4/21/17,CERTIFIED
BLOOMBERG LP,FIS REPRESENTATIVE,136000.00,"NEW YORK, NY",4/22/16,6/23/16,CERTIFIED
BLOOMBERG LP,FIS REPRESENTATIVE,136500.00,"NEW YORK, NY",9/2/16,11/14/16,CERTIFIED
BLOOMBERG LP,SENIOR SOFTWARE DEVELOPER,136500.00,"NEW YORK, NY",2/22/16,8/4/16,CERTIFIED
BLOOMBERG LP,TSCI INTEGRATION SPECIALIST,136500.00,"NEW YORK, NY",6/30/16,12/30/16,CERTIFIED
BLOOMBERG LP,FINANCIAL INFORMATION SERVICES REPRESENTATIVE,137000.00,"NEW YORK, NY",4/19/16,8/31/16,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,137000.00,"NEW YORK, NY",2/23/16,8/1/16,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,137500.00,"NEW YORK, NY",2/11/16,8/1/16,CERTIFIED
BLOOMBERG LP,SENIOR SOFTWARE DEVELOPER,138000.00,"NEW YORK, NY",5/25/16,7/14/16,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,138000.00,"NEW YORK, NY",2/23/16,8/15/16,CERTIFIED
BLOOMBERG LP,QA AUTOMATION ENGINEER,138500.00,"PRINCETON, NJ",10/13/16,12/5/16,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,138500.00,"NEW YORK, NY",2/17/16,8/15/16,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,138500.00,"NEW YORK, NY",2/11/16,8/1/16,CERTIFIED
BLOOMBERG LP,SENIOR SOFTWAER DEVELOPER,139000.00,"NEW YORK, NY",2/8/16,8/1/16,CERTIFIED
BLOOMBERG LP,SENIOR SOFTWARE DEVELOPER,139000.00,"NEW YORK, NY",10/28/16,2/24/17,CERTIFIED
BLOOMBERG LP,SENIOR SOFTWARE DEVELOPER,139000.00,"NEW YORK, NY",12/9/16,4/28/17,CERTIFIED
BLOOMBERG LP,SENIOR SOFTWARE DEVELOPER,139000.00,"PRINCETON, NJ",2/17/16,5/11/16,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,139000.00,"NEW YORK, NY",2/22/16,8/15/16,CERTIFIED
BLOOMBERG LP,UI JAVASCRIPT DEVELOPER,139000.00,"NEW YORK, NY",10/28/16,12/19/16,CERTIFIED
BLOOMBERG LP,UX DESIGNER,139500.00,"NEW YORK, NY",2/23/16,8/6/16,CERTIFIED
BLOOMBERG LP,DATA SPECIALIST,140000.00,"NEW YORK, NY",2/11/16,8/1/16,CERTIFIED
BLOOMBERG LP,EXCEL/VBA FINANCIAL SOLUTIONS SPECIALIST (DESKTOP),140000.00,"NEW YORK, NY",5/24/16,7/5/16,CERTIFIED
BLOOMBERG LP,REGULATORY REPRESENTATIVE,140000.00,"NEW YORK, NY",3/23/16,7/15/16,CERTIFIED
BLOOMBERG LP,SENIOR FULL STACK DEVELOPER,140000.00,"PRINCETON, NJ",7/13/16,8/8/16,CERTIFIED
BLOOMBERG LP,SENIOR SOFTWARE C++ DEVELOPER,140000.00,"NEW YORK, NY",2/11/16,8/1/16,CERTIFIED
BLOOMBERG LP,SENIOR SOFTWARE DEVELOPER,140000.00,"NEW YORK, NY",4/14/16,8/15/16,CERTIFIED
BLOOMBERG LP,SENIOR SOFTWARE DEVELOPER,140000.00,"NEW YORK, NY",4/26/16,9/30/16,CERTIFIED
BLOOMBERG LP,SENIOR SOFTWARE DEVELOPER,140000.00,"NEW YORK, NY",8/30/16,11/7/16,CERTIFIED
BLOOMBERG LP,SOFTWARE DEVELOPER,140000.00,"PRINCETON, NJ",12/22/16,1/30/17,CERTIFIED
BLOOMBERG LP,TREASURY MARKET REPORTER,140000.00,"NEW YORK, NY",5/18/16,6/13/16,CERTIFIED
